Продавец-консультант;Билайн;https://www.superjob.ru/vakansii/prodavec-konsultant-44003692.html;50000;70000;Super Job
Продавец производства (ул. Ореховская);ООО «Лента»;https://nn.superjob.ru/vakansii/prodavec-proizvodstva-46292305.html;23000;31000;Super Job
Специалист по работе с клиентами (входящий трафик);Винцарь Тех;https://api.hh.ru/vacancies/79651926?host=hh.ru;800;0;Head Hunter
Администратор салона красоты (удаленно);Laser beauty KZ ( Лазер бьюти КЗ);https://api.hh.ru/vacancies/79397609?host=hh.ru;60000;0;Head Hunter
Trainee/Junior Javascript developer;ТаргСофт;https://api.hh.ru/vacancies/79951207?host=hh.ru;0;0;Head Hunter
Продавец;Шевченко Максим Евгеньевич;https://api.hh.ru/vacancies/79940109?host=hh.ru;150000;300000;Head Hunter
Бухгалтер;TNK INVESTMENT GROUP;https://api.hh.ru/vacancies/79337192?host=hh.ru;250000;300000;Head Hunter
Модель;Другай А. Г.;https://api.hh.ru/vacancies/79259206?host=hh.ru;30;30;Head Hunter
Личный водитель;АТЕН;https://api.hh.ru/vacancies/79938805?host=hh.ru;1200;0;Head Hunter
Продавец - консультант в магазин Calzedonia (ТРЦ Планета);Calzedonia and Intimissimi;https://api.hh.ru/vacancies/78864390?host=hh.ru;40000;50000;Head Hunter
Менеджер по продажам;Евроспецстрой сервис;https://api.hh.ru/vacancies/78997099?host=hh.ru;800;1500;Head Hunter
Бухгалтер;Торговый дом автоклавного газоблока №1;https://api.hh.ru/vacancies/79405131?host=hh.ru;0;0;Head Hunter
Водитель категории B;Кристория;https://api.hh.ru/vacancies/79935059?host=hh.ru;1500;2000;Head Hunter
Личный водитель;Представительство Delfield Baltia;https://api.hh.ru/vacancies/79905343?host=hh.ru;4000000;0;Head Hunter
Охранник в частный дом;ЧОП Закон и Порядок;https://api.hh.ru/vacancies/79042796?host=hh.ru;120000;125000;Head Hunter
Front-End Developer (React JS);Аймоби Аппс;https://api.hh.ru/vacancies/79896315?host=hh.ru;2000;0;Head Hunter
Авиакассир;TURON EXPRESS;https://api.hh.ru/vacancies/78972062?host=hh.ru;5000000;10000000;Head Hunter
Менеджер по продажам;SPARE PARTS IMPORT;https://api.hh.ru/vacancies/79160703?host=hh.ru;4000000;9000000;Head Hunter
HR менеджер;Ne Prosto Production;https://api.hh.ru/vacancies/79028811?host=hh.ru;300000;500000;Head Hunter
Помощник Ритуального Агента / Ритуальный Агент;Специализированная ритуальная служба;https://api.hh.ru/vacancies/78952292?host=hh.ru;75000;0;Head Hunter
Личный водитель;Kaz Munay Onymderi;https://api.hh.ru/vacancies/79718283?host=hh.ru;300000;0;Head Hunter
Курьер на сто;Пузик Ю. В.;https://api.hh.ru/vacancies/79948239?host=hh.ru;1300;1300;Head Hunter
